So duong su dung tren moi lien ket va do su dung tren tung lien ket
BackBone 1,BackBone 2,So duong lien ket n,Do su dung u,Chi phi 1 lien ket, Tong chi phi 
99,2,5,0.9666666666666667,187.4737314932415,937.3686574662075
12,99,5,0.95,225.32891514406225,1126.6445757203112
12,2,4,0.8958333333333334,153.06416954989825,612.256678199593
12,11,3,0.7777777777777778,209.14530833848508,627.4359250154553
12,92,1,0.5833333333333334,162.4965230397254,162.4965230397254
99,1,2,0.7083333333333334,184.4351376500693,368.8702753001386
2,95,7,0.9166666666666666,211.20643929577528,1478.445075070427
2,63,1,0.6666666666666666,174.49951289330295,174.49951289330295
